O,D,Diff
428,437,-152
428,438,-125
428,441,-156
429,430,-409
429,437,-211
429,438,-222
429,441,-216
429,708,-111
430,431,-115
430,432,-221
430,433,-319
430,434,-268
430,435,-349
430,436,-432
430,437,-409
430,438,-265
430,439,-277
430,440,-289
430,441,-274
430,687,-114
430,688,-201
430,699,-108
430,701,-115
430,704,-107
430,708,-136
430,709,-204
430,713,-121
430,727,-103
432,437,-191
432,438,-181
432,441,-244
432,708,-121
432,713,-104
432,961,-103
433,437,-209
433,438,-207
433,441,-249
433,708,-116
434,437,-178
434,438,-192
434,441,-201
435,437,-266
435,438,-462
435,441,-411
435,697,-141
435,698,-201
435,708,-252
435,710,-139
435,713,-203
435,961,-113
435,966,-50
436,437,-351
436,438,-458
436,441,-530
436,697,-158
436,698,-250
436,708,-267
436,710,-150
436,713,-209
436,961,-112
437,438,-535
437,439,-228
437,440,-349
437,441,-377
437,688,-163
437,690,-111
437,692,-111
437,698,-157
437,699,-138
437,700,-112
437,701,-140
437,704,-132
437,708,-163
437,709,-248
437,710,-101
437,713,-135
437,727,-119
438,439,-292
438,440,-233
438,441,-500
438,687,-136
438,688,-287
438,709,-139
439,441,-375
439,697,-114
439,698,-150
439,708,-214
439,710,-131
439,713,-175
439,722,-210
439,961,-290
439,963,-188
439,966,-231
439,969,-249
439,971,-180
440,441,-476
440,697,-118
440,698,-182
440,708,-200
440,710,-123
440,713,-166
440,961,-50
441,687,-206
441,688,-347
441,689,-106
441,690,-195
441,691,-179
441,692,-220
441,693,-121
441,694,-118
441,695,-112
441,696,-148
441,697,-369
441,698,-768
441,699,-422
441,700,-483
441,701,-281
441,702,-287
441,703,-137
441,704,-299
441,706,-104
441,708,-612
441,709,-1292
441,710,-484
441,711,-144
441,712,-267
441,713,-529
441,726,-323
441,727,-419
442,456,-111
443,456,-155
444,456,-218
444,458,-134
445,456,-144
447,456,-108
448,456,-151
449,456,-383
449,458,-191
449,730,-134
45,236,-122
45,77,-133
450,456,-190
450,458,-119
451,456,-329
451,458,-171
452,456,-359
452,458,-200
453,456,-460
453,458,-284
453,730,-146
454,456,-218
454,458,-213
455,456,-310
455,458,-148
456,457,-267
456,458,-166
456,459,-233
456,460,-269
456,461,-187
456,463,-143
456,464,-211
456,466,-106
456,469,-108
456,475,-125
456,476,-202
456,477,-114
456,478,-113
456,479,-137
456,480,-142
457,458,-553
457,730,-168
458,459,-1032
458,460,-928
458,461,-691
